EmployeeID,Name,Age,Department,Salary,YearsExperience,City,PerformanceRating
1,Grace,54,Marketing,93161,34,Houston,5
2,David,33,HR,42169,29,Los Angeles,1
3,Hannah,57,Marketing,-62052,13,Los Angeles,3
4,Eva,25,Marketing,-111849,29,Chicago,5
5,Grace,26,Finance,-113851,24,Los Angeles,1
6,Jack,58,Sales,48036,26,Chicago,2
7,Charlie,29,Marketing,71778,17,Phoenix,5
8,Grace,49,Finance,67734,7,Houston,5
9,Hannah,52,Sales,63173,13,New York,1
10,Eva,30,Marketing,70403,5,Houston,3
11,David,50,Marketing,106321,26,Chicago,2
12,Hannah,35,HR,111675,3,Chicago,5
13,Hannah,43,HR,46344,7,Houston,3
14,Charlie,32,Sales,-58800,1,Chicago,
15,Frank,44,Marketing,65372,17,Los Angeles,4
16,Eva,22,IT,101516,25,Los Angeles,4
17,Bob,58,HR,60538,3,Chicago,2
18,Hannah,42,Sales,103918,15,Chicago,1
19,Frank,47,Marketing,54973,29,Los Angeles,2
20,Bob,57,Marketing,111155,32,Chicago,2
21,Eva,44,IT,99500,26,Chicago,1
22,Alice,22,Sales,76575,-16,Houston,1
23,Jack,36,Marketing,82261,25,New York,3
24,Frank,42,HR,67716,28,Los Angeles,3
25,Ian,30,IT,,9,Houston,1
26,Alice,30,Sales,55848,1,New York,4
27,Jack,31,IT,42352,29,Chicago,4
28,Charlie,47,HR,-41932,22,Chicago,2
29,Grace,56,Sales,116449,16,Houston,5
30,David,14,IT,-48556,7,Chicago,2
31,Ian,47,Finance,45498,14,Phoenix,2
32,Charlie,32,HR,-116118,29,Houston,5
33,Eva,59,HR,90098,19,New York,1
34,Charlie,23,HR,104386,-19,Houston,4
35,Grace,28,Finance,49569,-2,Los Angeles,2
36,Eva,39,Finance,96882,15,Houston,10
37,Ian,48,Marketing,110393,3,Chicago,3
38,Grace,55,IT,40340,11,Chicago,2
39,Bob,48,Marketing,83949,-30,Phoenix,4
40,David,38,IT,102443,18,Phoenix,1
41,Ian,45,Finance,114027,2,Phoenix,2
42,Bob,46,Finance,40138,32,New York,2
43,Jack,28,Marketing,40358,8,Phoenix,5
44,Ian,27,Sales,,22,New York,3
45,Jack,110,Marketing,70654,-6,Phoenix,3
46,Eva,7,IT,65879,12,New York,1
47,Bob,50,Marketing,95778,15,Houston,4
48,David,43,HR,77772,28,Houston,1
49,Grace,47,IT,98478,18,Chicago,2
50,Hannah,125,IT,104353,2,New York,2
51,Charlie,42,Sales,66762,13,Los Angeles,3
52,Alice,28,Finance,53283,15,Chicago,4
53,David,38,IT,103922,20,Houston,5
54,Bob,41,Finance,79420,29,New York,4
55,Hannah,41,Marketing,95568,29,Phoenix,2
56,David,43,HR,60219,3,Los Angeles,5
57,Bob,49,Sales,97169,19,Houston,4
58,Frank,28,Finance,114965,3,Chicago,4
59,Frank,22,IT,86840,14,New York,5
60,Jack,53,Finance,84695,4,Los Angeles,2
61,David,34,IT,-117988,11,New York,4
62,Frank,51,Finance,98342,31,Phoenix,5
63,Bob,44,IT,6014477,32,Chicago,2
64,Jack,40,Marketing,41307,27,New York,5
65,Bob,53,IT,75428,30,Houston,5
66,Jack,51,IT,115774,2,Chicago,4
67,David,50,HR,78975,9,Houston,2
68,Hannah,50,IT,41140,28,New York,4
69,Grace,51,HR,64842,31,Chicago,1
70,Ian,37,Sales,66421,34,Houston,1
71,Hannah,40,HR,41708,15,Phoenix,2
72,Eva,39,Marketing,43630,25,Phoenix,5
73,Bob,22,HR,59595,8,New York,4
74,Eva,35,Sales,116021,9,Chicago,4
75,Hannah,23,Marketing,68308,32,Los Angeles,2
76,Jack,49,Finance,84789,17,Chicago,2
77,Ian,51,Finance,95690,19,Phoenix,1
78,Ian,59,HR,66086,29,Houston,3
79,Alice,25,HR,56859,7,Los Angeles,10
80,Ian,22,Sales,47684,-28,New York,3
81,Grace,29,Sales,41207,9,Los Angeles,2
82,Ian,50,IT,86099,28,New York,5
83,Hannah,24,Sales,107496,6,Los Angeles,5
84,Alice,53,IT,106093,29,New York,1
85,Hannah,31,Marketing,69689,17,New York,1
86,Hannah,31,HR,88651,16,Los Angeles,3
87,Charlie,40,Marketing,53893,23,Los Angeles,2
88,Alice,55,Sales,106418,31,New York,4
